CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,Type de roche
0.000137438,1.91E-07,6.44E-05,8.97E-05,0.000306179,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,1.40E-05,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,9.54E-07,6.44E-05,8.97E-05,0.000764914,0.000116283,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000150137,4.56E-07,5.05E-05,8.03E-05,0.002259728,1.40E-05,1.92E-05,5.49E-06,R. carbonat̩es
0.000150137,4.56E-07,6.44E-05,8.97E-05,0.000764914,1.40E-05,1.92E-05,5.49E-06,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000150137,9.54E-07,6.44E-05,8.97E-05,0.002259728,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,1.40E-05,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,9.54E-07,6.44E-05,8.97E-05,0.002259728,0.000116283,1.92E-05,5.49E-06,R. carbonat̩es
0.000150137,9.54E-07,6.44E-05,8.97E-05,0.000764914,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000150137,4.56E-07,6.44E-05,8.97E-05,0.000306179,1.40E-05,1.92E-05,5.49E-06,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,9.54E-07,6.44E-05,8.97E-05,0.002259728,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,1.40E-05,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000764914,0.000116283,1.92E-05,1.37E-05,R. carbonat̩es
0.000150137,9.54E-07,6.44E-05,8.97E-05,0.000764914,1.40E-05,1.92E-05,5.49E-06,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,1.40E-05,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,9.54E-07,6.44E-05,8.97E-05,0.002259728,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000150137,4.56E-07,6.44E-05,8.97E-05,0.000764914,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000306179,0.000116283,1.92E-05,1.37E-05,R. carbonat̩es
0.000150137,1.91E-07,6.44E-05,8.97E-05,0.000764914,1.40E-05,1.92E-05,2.91E-06,R. carbonat̩es
0.000150137,1.91E-07,5.74E-05,8.97E-05,0.000764914,1.40E-05,1.92E-05,1.37E-05,R. carbonat̩es
0.000150137,4.56E-07,6.44E-05,8.97E-05,0.002259728,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000150137,1.91E-07,5.74E-05,8.97E-05,0.000306179,6.15E-06,1.92E-05,1.37E-05,R. carbonat̩es
0.000150137,9.54E-07,6.44E-05,8.97E-05,0.000764914,0.000116283,1.92E-05,1.37E-05,R. carbonat̩es
0.000137438,1.91E-07,6.44E-05,8.03E-05,0.000306179,6.15E-06,1.92E-05,2.91E-06,R. carbonat̩es
0.000137438,9.54E-07,6.44E-05,8.03E-05,0.000764914,6.15E-06,1.92E-05,5.49E-06,R. carbonat̩es
0.000137438,4.56E-07,5.74E-05,8.03E-05,0.002259728,0.000116283,1.92E-05,1.37E-05,R. carbonat̩es
