,CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,As,Cd,Cr,Ni,Sc,V,Co,Ba,Sr,Li,Mo,Rb,Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Type de roche
11,0.00014634034307073074,1.8630737409355943e-07,3.060649657752671e-09,4.589425432333865e-07,7.415308551285469e-08,6.150672824903104e-05,8.483361482169973e-05,8.885666441835006e-08,3.972135710436905e-08,3.297741981697719e-07,0.00015870165115854773,1.2926174175467561e-05,3.054899876170864e-05,5.203332824870417e-06,1.8468431272211933e-05,9.973108679957994e-07,4.447480267152398e-05,1.5555226550138932e-05,1.0132148334003823e-06,9.913718329489954e-06,1.9034368495614594e-05,1.0751728773916452e-05,0.00019988466116928525,2.6777993874517337e-06,3.285070618381669e-06,7.70610871751017e-07,9.873898370780057e-06,4.0066907580971435e-06,1.4738758175126756e-06,9.271829892620834e-08,4.419054784625289e-06,4.299154479627252e-06,9.071989499882256e-07,3.6575835090788983e-06,6.870373931555956e-07,1.8049925369912765e-07,8.88019637081515e-07,1.23017738274135e-07,9.650402948198992e-07,2.5329184922743274e-07,7.530072535520631e-07,9.097355763157971e-08,4.1379678470089413e-07,5.507607474373976e-08,7.340736692813296e-08,1.487670954778063e-07,1.092350599499294e-07,8.251338492969119e-06,R. carbonatées
12,0.0001458872165446502,9.279599909136807e-08,7.103136174506921e-10,1.0778377379008002e-07,3.234916772600957e-08,6.0702069385936486e-05,8.518514715871371e-05,7.175054044767118e-08,2.8693241654592447e-08,1.0790524827054678e-07,0.00034005605027643686,5.583143956897712e-06,3.054899876170864e-05,3.974441460842439e-06,1.8468431272211933e-05,9.973108679957994e-07,1.0267307107176302e-05,4.873422267461563e-06,1.0132148334003823e-06,2.176479847604193e-06,1.9034368495614594e-05,1.2247903768496118e-05,0.0001851332684283845,7.792742209847865e-06,3.285070618381669e-06,2.7680730442857857e-07,5.961646432871264e-06,2.5897705248119336e-06,1.044128193725668e-06,5.047960983968567e-08,3.317140100287623e-06,2.60874408084823e-06,6.479895681799958e-07,2.6199623683916636e-06,4.6868221901213633e-07,1.188711302557427e-07,5.979791766349088e-07,8.152429029737585e-08,5.993343620668206e-07,1.470523542477996e-07,4.4361030650654374e-07,4.8868566297172384e-08,2.194592135822153e-07,2.973158695847847e-08,4.469133495387629e-08,1.2401809759466398e-07,5.7309603406479436e-08,4.183280229608631e-06,R. carbonatées
13,0.0001455231108612111,2.3337382228151865e-07,5.821297119191157e-09,1.1504105972425405e-06,1.195690642402567e-07,5.942536165950779e-05,8.60977492017033e-05,7.158525515376594e-08,1.2871176910438308e-07,3.4108738101569212e-06,0.0024016534848898376,1.1395486115771748e-05,3.054899876170864e-05,1.298427985306685e-05,1.8468431272211933e-05,9.973108679957994e-07,1.6819299218951573e-05,9.313618460005758e-06,1.0132148334003823e-06,1.5668793409186156e-05,1.9034368495614594e-05,1.676451322801036e-05,0.00023530035249340426,1.25881771385619e-05,2.053378940476563e-06,5.4478171242645585e-06,2.6627438432204466e-05,4.0138785704447454e-06,1.5366502810369035e-06,3.807751278207521e-07,1.1595558583623244e-05,1.231103563905653e-05,2.7715755919253487e-06,1.3671593501590057e-05,2.2954300847304418e-06,6.709479726326186e-07,3.230646246737774e-06,4.1183538513032666e-07,2.905684649026671e-06,7.044788448537318e-07,1.8692346361040147e-06,1.94138511085376e-07,8.482811168641308e-07,1.0679090057289514e-07,8.602444621034842e-08,1.7599191126942466e-07,2.3460772320027316e-07,1.5419711105054722e-05,R. carbonatées
14,0.00014530759965200647,1.2081358557368958e-07,2.134557851643368e-09,2.0924924937818878e-07,4.476980859342684e-08,6.01858693484607e-05,8.512173030354577e-05,7.619317542029714e-08,3.348105648514499e-08,1.2779875427005872e-07,0.00032680176073887174,1.0655785841109642e-05,3.054899876170864e-05,4.5737162970972894e-06,1.8468431272211933e-05,9.973108679957994e-07,8.855493256081986e-06,4.5737162970972894e-06,1.0132148334003823e-06,2.5787974866612377e-06,1.9034368495614594e-05,1.5398826954312235e-05,0.00018733747326685088,7.792742209847865e-06,3.285070618381669e-06,5.302862220984725e-07,7.811593896055019e-06,3.794777241921295e-06,2.7523823672647903e-06,5.328327556261084e-08,4.983537023236767e-06,4.110336123815039e-06,9.271048840218843e-07,3.8635497912668055e-06,6.352839419775596e-07,1.614236989953499e-07,7.696697036542883e-07,1.0293989973893815e-07,7.851514893078678e-07,2.037333240014624e-07,6.299715116558368e-07,7.63108658619912e-08,3.6118485773903794e-07,4.9305797597981494e-08,7.378906243726668e-08,6.46481064445205e-08,1.5657896143738363e-07,4.627145159047169e-06,R. carbonatées
15,0.00014496344947895128,1.2567687397093016e-07,2.996471168598035e-09,1.5832307470841602e-07,3.1817494889676495e-08,6.0860080677141634e-05,8.410336880180967e-05,8.500034201362049e-08,5.241754002781336e-08,1.556573110895507e-07,0.0010198972803299347,2.664326277857242e-05,3.054899876170864e-05,7.185537862298087e-06,1.8468431272211933e-05,9.973108679957994e-07,1.0778306793447129e-05,8.252141138732959e-06,1.0132148334003823e-06,3.705042960247451e-06,1.9034368495614594e-05,1.3317945331653111e-05,0.0001541915378622981,4.937811799747966e-06,3.285070618381669e-06,5.017663331774421e-07,7.2399129089832085e-06,1.969302505508687e-06,5.282171158426471e-07,6.74116653965698e-08,3.2723902357795126e-06,2.8394254437819706e-06,7.172172418325407e-07,3.1732125267803607e-06,5.743521188435224e-07,1.4457554242327003e-07,7.0164797233775e-07,1.0088338565380198e-07,7.317958849288957e-07,1.7863463087575035e-07,5.210579758407653e-07,5.815037878598285e-08,2.662743110646394e-07,3.5934457355037155e-08,4.5412355775538186e-08,3.887777496015484e-08,8.43211919787127e-08,3.713519097226809e-06,R. carbonatées
16,0.00014483349255723976,7.511115174120258e-07,2.9608967997715e-08,1.0619415955290226e-06,3.627633741384549e-08,6.128050387254732e-05,8.355298868469243e-05,9.851834613648002e-08,4.017518776650111e-07,5.500806639848268e-07,0.0005059360543073412,1.600705675037046e-05,3.054899876170864e-05,6.408511543017398e-06,1.8468431272211933e-05,9.973108679957994e-07,1.6899643558011937e-05,1.856580559894269e-05,7.259706035484e-07,7.2597060354840015e-06,1.9034368495614594e-05,3.164458256237735e-05,0.00023061467820096923,7.792742209847865e-06,3.285070618381669e-06,1.7157555291246475e-05,2.0358007281191292e-05,1.0265258550830384e-05,1.8381094433059806e-06,1.738068309693727e-07,1.068392381531574e-05,1.0905484933905602e-05,2.414545510814685e-06,1.147357164899937e-05,2.0136481274600137e-06,4.746930052599139e-07,2.576216539411864e-06,3.3806013932163834e-07,2.4020725849751106e-06,5.655682246701114e-07,1.6149980911972477e-06,1.828465381272804e-07,9.272630665649312e-07,1.2589799069335168e-07,2.5313002616344023e-07,1.2985698574403133e-07,8.514278519512684e-07,1.0436444877744362e-05,R. carbonatées
17,0.00014387970163031716,1.3271802080951273e-07,2.0277460915140357e-09,2.471570797490297e-07,8.234286737990393e-08,6.021696235038854e-05,8.366273927992862e-05,9.686979808797537e-08,3.862367262460412e-08,6.565521333092069e-08,0.0002918384641452046,7.539586570568984e-06,3.054899876170864e-05,2.9560493602671344e-06,1.8468431272211933e-05,9.973108679957994e-07,5.712814493999406e-06,4.018898568453071e-06,1.0132148334003823e-06,7.738870797103847e-06,1.9034368495614594e-05,1.6842174265216392e-05,0.0002037249433828149,2.1602410156379152e-06,3.285070618381669e-06,6.802781135401056e-07,8.112291728858677e-06,2.125188356879953e-06,1.5602840627389851e-06,8.55348310447531e-08,3.7614676661824163e-06,3.185641940455402e-06,7.598391138711307e-07,3.2113687585185708e-06,5.662346078512893e-07,1.7020363244002562e-07,7.298603400683377e-07,1.0469176871498907e-07,8.019501757989282e-07,2.070043275969558e-07,6.337296241096099e-07,7.250555577360816e-08,3.334572699102814e-07,4.330774675054876e-08,3.572923554541778e-08,1.656072598625721e-07,9.988991407596112e-08,3.4987286395485765e-06,R. carbonatées
18,0.0001437344179840816,6.35128786404382e-08,2.6737011570793756e-09,1.8175141460739368e-07,3.797612906367174e-08,6.069653417274217e-05,8.303788381133945e-05,5.318128678051156e-08,1.2873018059423247e-08,2.880262363963062e-08,0.00022847578930228115,1.2190216934052917e-05,3.054899876170864e-05,4.253607611031231e-06,9.995977885923392e-06,9.973108679957994e-07,6.8991440520384585e-06,6.380411416546846e-06,4.4247893807434635e-07,2.7492829681055515e-06,1.9034368495614594e-05,1.0078975107602049e-05,0.00014211718014563732,7.792742209847865e-06,3.285070618381669e-06,3.174266151403299e-07,2.887102753899725e-06,2.099124256640321e-06,6.505610192227651e-07,7.160904142091323e-08,2.074344092911581e-06,1.616287076991805e-06,4.446830053839385e-07,1.2756807751710976e-06,2.732234527668737e-07,6.466664348620286e-08,2.7969181047479504e-07,3.788005225235732e-08,2.91724638587773e-07,7.404065742342323e-08,2.244717079019902e-07,2.601717957039534e-08,1.212035065245415e-07,1.6135468561805106e-08,3.484437031332199e-08,5.348797547429128e-08,8.284970020669438e-08,2.4783253531255066e-06,R. carbonatées
19,0.0001432007506665631,3.003455550881698e-07,9.7891065454877e-09,6.36503848179623e-07,8.504546289076526e-08,6.023493642255869e-05,8.29658142440044e-05,8.899972782651968e-08,1.0531951191150487e-07,1.878932446402849e-07,0.0011471191495440662,1.554313942968003e-05,3.054899876170864e-05,7.032827346509216e-06,1.8468431272211933e-05,9.973108679957994e-07,1.672512721900931e-05,7.742020020106783e-06,1.0132148334003823e-06,5.259845662515296e-06,1.9034368495614594e-05,2.9198053365906533e-05,0.00020669420472001118,7.824759165359833e-06,3.285070618381669e-06,3.3538009217156783e-06,1.1787111671811881e-05,4.68714893564982e-06,1.7863629183228175e-06,5.877825615336019e-07,5.0092276943661835e-06,6.3015378385171974e-06,1.310241545895994e-06,5.572072522788797e-06,1.0661549762406258e-06,2.5637567630127433e-07,1.3080237688651205e-06,1.8190580870147378e-07,1.3440885836931935e-06,3.2907084231770883e-07,9.681569698652371e-07,1.0673697769182505e-07,4.907082137211238e-07,6.65447334524057e-08,9.965074050244351e-08,1.872405250454362e-07,2.9965809718913245e-07,1.054711394310836e-05,R. carbonatées
20,0.00014272838040204974,4.6759337632384e-07,1.4787626629483106e-08,4.3497002804143185e-07,8.76982227337519e-08,5.992902472840237e-05,8.279935567364736e-05,1.1104443901529142e-07,2.514090630331167e-07,2.2855180645111224e-08,0.0006476195316544546,9.563815494849978e-06,1.890786671875447e-05,4.137537199899636e-06,1.8468431272211933e-05,9.973108679957994e-07,9.631643973536858e-06,1.0745188215144038e-05,1.0132148334003823e-06,6.511533953940411e-06,1.9034368495614594e-05,6.02750993003084e-05,0.0002047266972206077,1.889023131429588e-06,3.285070618381669e-06,5.3578471832029825e-06,7.262948784872758e-06,7.502796324479739e-06,7.407781473496153e-07,1.7739504437330802e-07,4.336478927298976e-06,4.402126114412256e-06,8.919636886915816e-07,3.1855902517243825e-06,5.730371442219109e-07,1.5414806173863705e-07,6.648641828136491e-07,9.264216896787929e-08,6.848672989261166e-07,1.747978725506488e-07,5.39049295179394e-07,6.471271271450888e-08,3.232440532544264e-07,4.5406776698870525e-08,1.3333960302718845e-07,3.3987005026460704e-08,3.6560977486443204e-07,6.057892218429842e-06,R. carbonatées
