,CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,Type de roche
11,0.00014634034307073074,4.589425432333865e-07,6.150672824903104e-05,8.483361482169973e-05,0.00015870165115854773,1.2926174175467561e-05,3.054899876170864e-05,5.203332824870417e-06,R. carbonatées
12,0.0001458872165446502,1.0778377379008002e-07,6.0702069385936486e-05,8.518514715871371e-05,0.00034005605027643686,5.583143956897712e-06,3.054899876170864e-05,3.974441460842439e-06,R. carbonatées
13,0.0001455231108612111,1.1504105972425405e-06,5.942536165950779e-05,8.60977492017033e-05,0.0024016534848898376,1.1395486115771748e-05,3.054899876170864e-05,1.298427985306685e-05,R. carbonatées
14,0.00014530759965200647,2.0924924937818878e-07,6.01858693484607e-05,8.512173030354577e-05,0.00032680176073887174,1.0655785841109642e-05,3.054899876170864e-05,4.5737162970972894e-06,R. carbonatées
15,0.00014496344947895128,1.5832307470841602e-07,6.0860080677141634e-05,8.410336880180967e-05,0.0010198972803299347,2.664326277857242e-05,3.054899876170864e-05,7.185537862298087e-06,R. carbonatées
16,0.00014483349255723976,1.0619415955290226e-06,6.128050387254732e-05,8.355298868469243e-05,0.0005059360543073412,1.600705675037046e-05,3.054899876170864e-05,6.408511543017398e-06,R. carbonatées
17,0.00014387970163031716,2.471570797490297e-07,6.021696235038854e-05,8.366273927992862e-05,0.0002918384641452046,7.539586570568984e-06,3.054899876170864e-05,2.9560493602671344e-06,R. carbonatées
18,0.0001437344179840816,1.8175141460739368e-07,6.069653417274217e-05,8.303788381133945e-05,0.00022847578930228115,1.2190216934052917e-05,3.054899876170864e-05,4.253607611031231e-06,R. carbonatées
19,0.0001432007506665631,6.36503848179623e-07,6.023493642255869e-05,8.29658142440044e-05,0.0011471191495440662,1.554313942968003e-05,3.054899876170864e-05,7.032827346509216e-06,R. carbonatées
20,0.00014272838040204974,4.3497002804143185e-07,5.992902472840237e-05,8.279935567364736e-05,0.0006476195316544546,9.563815494849978e-06,1.890786671875447e-05,4.137537199899636e-06,R. carbonatées
21,0.00014257136612310164,2.648950247654421e-07,5.904075654368744e-05,8.353060957941422e-05,0.00030443766264690687,2.689707639157949e-05,3.009617327747643e-05,9.76570773601963e-06,R. carbonatées
22,0.00014223638420128777,2.986614052586946e-07,5.946818464540471e-05,8.276819955588308e-05,0.0005923666242135537,9.849580594188854e-06,3.054899876170864e-05,3.372410746923358e-06,R. carbonatées
23,0.0001420735440351978,2.037182910764631e-07,5.873336509898563e-05,8.334017893621216e-05,0.0005545215570821067,1.1202092642636112e-05,1.3671944405501815e-05,1.353835795313241e-05,R. carbonatées
24,0.00014191944063991977,5.915595530996151e-07,5.902772181656716e-05,8.28917188233526e-05,0.0012025872239119276,8.475926805537466e-06,1.1428571428571429e-05,5.492779382359475e-06,R. carbonatées
